ID,Name,Short Name,AICTE Code,EAMCET Code,L4G Code,L4G Group Code,Type,Address,Website,LatLong,District
214,KSRM College Of Engineering,,,KSRM,C029,,Unknown,,https://www.ksrmce.ac.in/,,Kadapa
215,Kuppam Engineering College,,,KUPM,C238,,Unknown,,https://kec.ac.in/,,Chittoor
216,L4G,,,L4G,C068,,Unknown,,,,Hyderabad
217,Lakkireddy Balireddy College of Engineering,,,LBCE,C030,,Unknown,,https://lbrce.ac.in/,,Krishna
218,Lendi Institute of Engineering and Technology,,,LIET,C212,,Unknown,,https://lendi.org/,,East Godavari
219,Lenora College of Engineering,,,,C322,,Unknown,,,,East Godavari
220,Lingayas Institute of Management and Technology,,,LIMT,C228,,Unknown,,,,Krishna
221,"Lok Nayak Jai Prakash Institute of Technology, Chhapra",,,,C385,,Unknown,,,,Unknown
222,Lovely Professional University,,,VGWL,C092,,Unknown,,,,Unknown
223,Loyola Academy Degree and PG College,,,,C434,,Unknown,,,,Medchal
224,Loyola Institute of Technology and Management,,,,C373,,Unknown,,,,Guntur
225,M. Kumarasamy College of Engineering,,,,C499,,Unknown,,https://www.mkce.ac.in/,,Karur
226,M.V.R College of Engineering & Technology,,,MVRS,C229,,Unknown,,,,Rangareddy
227,Madanapalle Institute of Technology & Science,,,MITS,C041,,Unknown,,,,Chittoor
228,Maharajha's College of Pharmacy,,,MHRJ,C075,,Unknown,,,,Vizianagaram
229,Mahatma Gandhi Institute of Technology,,,MGIT,C117,,Unknown,,,,Hyderabad
230,Mahaveer Institute of Science & Technology,,,MHVR,C259,,Unknown,,,,Rangareddy
231,"MAHE , MANIPAL INSTITUTE OF TECHNOLOGY BENGALURU",,,,C394,,Unknown,,manipal.edu/mit,,Bangalore
232,Mahindra University,,,,C382,,Unknown,,,,Unknown
233,Malineni Lakshmaiah Womens Engineering College,,,MLEW,C032,,Unknown,,,,Guntur
234,Malineni Perumallu Educational Society's Group of Institutions,,,MPES,C040,,Unknown,,,,Guntur
235,Malla Reddy College of Engineering,,,MRCE,C167,,Unknown,,,,Hyderabad
236,Malla Reddy College of Engineering and Technology,,,,C466,,Unknown,,https://mrcet.com/,,Rangareddy
237,Malla Reddy College of Engineering for Women,,,,C467,,Unknown,,http://www.mrcew.ac.in/,,Rangareddy
238,Malla Reddy Engineering College & Management Sciences,,,MREM,C169,,Unknown,,,,Rangareddy
239,Malla Reddy Engineering College for Women,,,MRCW,C072,,Unknown,,,,Rangareddy
240,Malla Reddy Group,,,MREW,C087,,Unknown,,,,Rangareddy
241,Malla Reddy Institute of Engineering & Technology,,,MRET,C144,,Unknown,,,,Rangareddy
242,Malla Reddy Institute of Technology,,,MLTM,C145,,Unknown,,,,Rangareddy
243,Malla Reddy Institute of Technology & Science,,,MRIT,C146,,Unknown,,,,Rangareddy
244,Malla Reddy University / Previously Malla Reddy Engineering College,,,MREC,C168,,Unknown,,,,Rangareddy
245,Mallareddy College Of Engineering,,,,C380,,Unknown,,,,Unknown
246,Mallareddy College of Engineering & Technology,,,MLRD,C170,,Unknown,,,,Rangareddy
247,Mallareddy University,,,,C341,,Unknown,,,,Rangareddy
248,Mangalore Institute of Technology and Engineering,,,,C435,,Unknown,,mite.ac.in,,Dakshina Kannada
249,Manipal University Jaipur,,,,C490,,Unknown,,https://jaipur.manipal.edu/,,Jaipur
250,Marri Laxman Reddy Institute of Technology & Management,,,MLRS,C174,,Unknown,,,,Rangareddy
251,Matrusri Engineering College,,,MECS,C094,,Unknown,,,,Hyderabad
252,"Maulana Azad National Institute of Technology, Bhopal",,,,C342,,Unknown,,,,Bhopal
253,Medak College of Engineering & Technology,,,MEDK,C280,,Unknown,,,,Siddipet
254,Meenakshi Chandrasekaran College of Arts & Science,,,,C455,,Unknown,,.,,Thanjavur
255,Megha Institute of Engineering & Technology for Women,,,,C469,,Unknown,,https://meghaengg.ac.in/,,Medchal
256,Methodist College of Engineering and Technology,,,MCET,C065,,Unknown,,,,Hyderabad
257,MLR Institute of Technology,,,MLID,C147,,Unknown,,,,Unknown
258,MNR College of Engineering and Technology,,,MNRT,C176,,Unknown,,,,Medak
259,Mohan Babu University,,,,C343,,Unknown,,,,Chittoor
260,Mother Teresa Institute of Science & Technology,,,MOTK,C163,,Unknown,,,,Khammam
261,Mother Theressa College of Engineering & Technology,,,MTEC,C284,,Unknown,,,,Peddapalli
262,Motilal Nehru National Institute of Technology,,,,C503,,Unknown,,https://www.mnnit.ac.in/,,Allahabad
263,MRM College of Pharmacy,,,,C293,,Unknown,,,,Rangareddy
264,MSR Degree College,,,,C375,,Unknown,,,,Nellore
265,Muffakham Jah College of Engineering & Technology,,,MJCT,C263,,Unknown,,,,Hyderabad
266,MVGR College of Engineering,,,MVRG,C038,,Unknown,,,,Vizianagaram
