Sno,EAMCET-Code,AICTE,CollegeName,L4G College Code,L4G Group code,"Autonomy(PrivateUniversity, PublicUniversity, Autonomous,Affiliated)",Type,type_code,CountryCode,state_code,State (),district_code,District,PIN code,Nearest City,Urban/SemiUrban/Rural,Website,Full Address,LatLong,rollno_code,is_deleted,,
216,GGIB,,Gokul Institute of Technology & Sciences,C216,,Autonomous,ENGINEERING_COLLEGE,,,28,Andhra Pradesh,543,Vizianagaram,,,,,,,,,,
34,GTMW,,Gouthami Institute of Technology And management For Women,C034,,Affiliated,ENGINEERING_COLLEGE,,,28,Andhra Pradesh,551,Kadapa,,,,https://www.gitamw.ac.in/,,,,,,
,,,Government Arts and Science College Aranthangi,C496,,Affiliated,,,,33,Tamil Nadu,621,Pudukkottai,,,,https://tngasa.com/government-arts-and-science-college-aranthangi/,,,,,,
,,,Government Engineering College Arwal Bihar ,C298,,University,,,,10,Bihar,240,Arwal,,,Bihar,https://www.gecarwal.ac.in/,,,,,,
,,,Graphic Era Hill University,C430,,University,,,,5,Uttarakhand,60,Dehradun,,,,https://www.gehu.ac.in/,,,,,,
132,GNIT,,Gurunanak Institute of Technology,C132,,Autonomous,ENGINEERING_COLLEGE,,,36,Telengana,537,Bhandara,,,,https://gnit.ac.in/,,,,,,
133,GURU,,Gurunanak Institutions Technical Campus,C133,,Autonomous,ENGINEERING_COLLEGE,,,36,Telengana,537,Bhandara,,,,https://www.gniindia.org/gnitc/,,,,,,
135,HMTK,,Holy Mary Institute of Technology and Science College of Engineering,C135,,Autonomous,ENGINEERING_COLLEGE,,,36,Telengana,537917,Medchal,,,,https://www.hits.ac.in/,,,,,,
246,HITM,,Hyderabad Institute of Technology & Management,C246,,Autonomous,ENGINEERING_COLLEGE,,,36,Telengana,536,Ranga Reddy,,,,https://hitam.org/,,,,,,
,,,"ICFAI University, Hyderabad",C317,,University,,,,36,Telengana,536,Ranga Reddy,,,,https://www.icfaiuniversity.in/ifhe/,,,,,,
,,,Ideal Institute Of Technology,C451,,Private University,,,,9,Uttar Pradesh,140,Ghaziabad,,,,idealinstitute.ac.in,,,,,,
,,,IIIT Hyderabad,C381,,,,,,36,Telengana,0,,,,,,,,,,,
,,,IIIT Kadapa,C456,,,,,,28,Andhra Pradesh,551,Kadapa,,,,iiitk.ac.in,,,,,,
